"Economy","Disaggregation","2018","2019","2020","2021","2022","2023","2024","2025"
"Ghana","Overview","43%","22.0732%","62.5176%","68.6%","69.3607%","69.9445%","-","-"
"Ghana","14 years and younger","-","-","-","-","-","-","-","-"
"Ghana","15 to 24 years","-","-","-","-","-","-","-","-"
"Ghana","25 to 74 years","-","-","-","-","-","-","-","-"
"Ghana","75 years and older","-","-","-","-","-","-","-","-"
"Guinea","Overview","21.83%","22.6255%","23.4499%","24.3044%","24.6954%","26.5014%","-","-"
"Guinea","14 years and younger","-","-","-","-","-","-","-","-"
"Guinea","15 to 24 years","-","-","-","-","-","-","-","-"
"Guinea","25 to 74 years","-","-","-","-","-","-","-","-"
"Guinea","75 years and older","-","-","-","-","-","-","-","-"
"Guinea-Bissau","Overview","15.7%","17.9215%","20.4573%","23.3519%","27.5672%","32.4661%","-","-"
"Guinea-Bissau","14 years and younger","-","-","-","-","-","-","-","-"
"Guinea-Bissau","15 to 24 years","-","-","-","-","-","-","-","-"
"Guinea-Bissau","25 to 74 years","-","-","-","-","-","-","-","-"
"Guinea-Bissau","75 years and older","-","-","-","-","-","-","-","-"
"Hong Kong, China","Overview","90.5074%","91.7434%","92.4131%","93.0872%","95.6136%","95.9778%","-","-"
"Hong Kong, China","14 years and younger","100%","100%","100%","99.9032%","100%","100%","-","-"
"Hong Kong, China","15 to 24 years","99.9288%","99.9112%","99.9219%","99.816%","99.9648%","99.9137%","-","-"
"Hong Kong, China","25 to 74 years","94.9808%","95.8324%","96.5254%","97.0795%","98.6333%","98.752%","-","-"
"Hong Kong, China","75 years and older","29.3843%","37.3809%","39.8754%","45.273%","62.4603%","66.456%","-","-"
"India","Overview","20.0813%","29.5235%","43.4054%","-","55.9%","-","-","70%"
"India","14 years and younger","-","-","-","-","-","-","-","-"
"India","15 to 24 years","-","-","-","-","-","-","-","-"
"India","25 to 74 years","-","-","-","-","-","-","-","-"
"India","75 years and older","-","-","-","-","-","-","-","-"
"Indonesia","Overview","39.9046%","47.6906%","53.7265%","62.1045%","66.4846%","69.2084%","72.7808%","-"
"Indonesia","14 years and younger","22.4181%","31.2345%","39.3467%","62.011%","62.1103%","63.8064%","67.4944%","-"
"Indonesia","15 to 24 years","77.0505%","83.5795%","87.1662%","91.8293%","93.2085%","94.3128%","95.5091%","-"
"Indonesia","25 to 74 years","35.7376%","43.879%","50.2166%","55.7611%","62.031%","66.0584%","70.3846%","-"
"Indonesia","75 years and older","1.59805%","1.80757%","3.51452%","4.8846%","8.02833%","9.6061%","12.3237%","-"
"Iran (Islamic Republic of)","Overview","70.2006%","72.4509%","75.5699%","78.5957%","79.061%","79.6309%","-","-"
"Iran (Islamic Republic of)","14 years and younger","-","-","-","94.3919%","-","-","-","-"
"Iran (Islamic Republic of)","15 to 24 years","-","-","-","95.3806%","-","-","-","-"
"Iran (Islamic Republic of)","25 to 74 years","-","-","-","74.192%","-","-","-","-"
"Iran (Islamic Republic of)","75 years and older","-","-","-","7.7823%","-","-","-","-"
"Japan","Overview","88.7464%","92.7304%","90.2195%","82.9141%","84.9234%","86.9815%","-","-"
"Japan","14 years and younger","74.0438%","89.745%","91.8539%","93.8944%","92.8961%","-","-","-"
"Japan","15 to 24 years","98.8537%","99.1869%","98.5791%","98.8884%","98.4788%","-","-","-"
"Japan","25 to 74 years","95.2689%","96.5233%","95.5109%","90.3728%","91.8964%","-","-","-"
"Japan","75 years and older","57.2101%","73.4034%","62.0797%","40.9399%","46.2602%","-","-","-"
"Kenya","Overview","19.5%","22.6688%","-","-","-","-","34.9762%","-"
"Kenya","14 years and younger","-","2.56138%","-","-","-","-","9.43804%","-"
"Kenya","15 to 24 years","-","32.2741%","-","-","-","-","46.6107%","-"
"Kenya","25 to 74 years","-","34.2591%","-","-","-","-","47.6538%","-"
"Kenya","75 years and older","-","4.18671%","-","-","-","-","6.92749%","-"
"Kiribati","Overview","32.9864%","39.5737%","-","-","-","88%","-","-"
"Kiribati","14 years and younger","-","-","-","-","-","-","-","-"
"Kiribati","15 to 24 years","-","-","-","-","-","-","-","-"
"Kiribati","25 to 74 years","-","-","-","-","-","-","-","-"
"Kiribati","75 years and older","-","-","-","-","-","-","-","-"
"Korea (Rep. of)","Overview","96.0229%","96.1576%","96.5051%","97.5713%","97.1686%","97.416%","97.8956%","-"
"Korea (Rep. of)","14 years and younger","-","-","-","-","-","-","-","-"
"Korea (Rep. of)","15 to 24 years","99.9029%","99.9582%","99.9427%","99.9112%","99.8334%","99.9275%","99.8005%","-"
"Korea (Rep. of)","25 to 74 years","95.4548%","95.5794%","96.0392%","97.2553%","96.833%","97.1022%","97.6597%","-"
"Korea (Rep. of)","75 years and older","-","-","-","-","-","-","-","-"
"Lao P.D.R.","Overview","36.3%","47.0323%","54%","62%","62.7001%","63.6255%","-","-"
"Lao P.D.R.","14 years and younger","-","-","-","-","-","-","-","-"
"Lao P.D.R.","15 to 24 years","-","-","-","-","-","-","-","-"
"Lao P.D.R.","25 to 74 years","-","-","-","-","-","-","-","-"
"Lao P.D.R.","75 years and older","-","-","-","-","-","-","-","-"
"Lesotho","Overview","40.8%","42.3017%","43.6575%","45.0567%","46.5007%","47.991%","-","-"
"Lesotho","14 years and younger","-","-","-","-","-","-","-","-"
"Lesotho","15 to 24 years","-","-","-","-","-","-","-","-"
"Lesotho","25 to 74 years","-","-","-","-","-","-","-","-"
"Lesotho","75 years and older","-","-","-","-","-","-","-","-"
"Liberia","Overview","17.2777%","18.3141%","19.4126%","20.5771%","21.8966%","23.4979%","-","-"
"Liberia","14 years and younger","-","-","-","-","-","-","-","-"
"Liberia","15 to 24 years","-","-","-","-","-","-","-","-"
"Liberia","25 to 74 years","-","-","-","-","-","-","-","-"
"Liberia","75 years and older","-","-","-","-","-","-","-","-"
"Macao, China","Overview","83.7941%","86.4679%","87.4623%","88.4681%","87.9696%","89.1806%","-","-"
"Macao, China","14 years and younger","69.0616%","-","-","68.3024%","-","-","-","-"
"Macao, China","15 to 24 years","98.1073%","-","-","99.4565%","-","-","-","-"
"Macao, China","25 to 74 years","90.6601%","-","-","93.2095%","-","-","-","-"
"Macao, China","75 years and older","43.6261%","-","-","41.2371%","-","-","-","-"
"Madagascar","Overview","7.7478%","9.37944%","11.3547%","13.7459%","18.5532%","20.3671%","-","-"
"Madagascar","14 years and younger","-","-","-","-","-","-","-","-"
"Madagascar","15 to 24 years","-","-","-","-","-","-","-","-"
"Madagascar","25 to 74 years","-","-","-","-","-","-","-","-"
"Madagascar","75 years and older","-","-","-","-","-","-","-","-"
"Malawi","Overview","8.79829%","11.0586%","13.8995%","17.4703%","17.0457%","17.9881%","-","-"
"Malawi","14 years and younger","-","-","-","-","-","-","-","-"
"Malawi","15 to 24 years","-","-","-","-","-","4.46396%","-","-"
"Malawi","25 to 74 years","-","-","-","-","-","24.5229%","-","-"
"Malawi","75 years and older","-","-","-","-","-","14.7255%","-","-"
"Malaysia","Overview","81.201%","84.1871%","89.555%","96.7514%","97.3986%","97.6927%","98.0206%","-"
"Malaysia","14 years and younger","-","-","-","-","-","-","-","-"
